# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
1260, 38.967, 0.297, -0.001, 0.182, 0.003, 0.292, -0.001
1264, 39.050, 0.137, -0.000, 0.105, -0.000, 0.131, -0.000
1267, 39.147, 0.079, -0.000, 0.274, -0.000, 0.239, -0.000
1270, 39.206, 0.095, -0.000, 0.151, -0.000, 0.087, -0.000
1285, 39.696, 0.123, 0.001, 0.137, 0.001, 0.070, -0.003
1298, 40.018, 0.095, 0.003, 0.099, -0.001, 0.075, -0.001
1300, 40.111, 0.085, -0.000, 0.099, -0.000, 0.034, -0.000
1309, 40.508, 0.118, 0.001, 0.122, 0.001, 0.091, -0.003
1319, 40.863, 0.143, -0.000, 0.205, -0.000, 0.133, -0.000
1331, 41.286, 0.131, -0.000, 0.244, -0.000, 0.083, -0.000
1354, 42.003, 0.113, -0.000, 0.160, -0.000, 0.108, -0.000
1366, 42.474, 0.096, 0.001, 0.107, 0.001, 0.119, -0.003
1384, 43.006, 0.118, -0.000, 0.137, -0.000, 0.083, -0.000
1391, 43.324, 0.131, -0.000, 0.232, -0.000, 0.116, -0.000
1397, 43.578, 0.106, 0.003, 0.115, -0.001, 0.169, -0.001
1398, 43.586, 0.077, -0.001, 0.080, 0.003, 0.100, -0.001
1400, 43.707, 0.137, 0.001, 0.216, 0.001, 0.133, -0.003
1405, 43.822, 0.102, 0.001, 0.104, 0.001, 0.087, -0.003
1409, 43.883, 0.102, -0.003, 0.105, 0.001, 0.087, 0.001
1425, 44.321, 0.121, 0.003, 0.171, -0.001, 0.120, -0.001
1427, 44.350, 0.104, -0.000, 0.104, -0.000, 0.083, -0.000
1440, 44.882, 0.085, 0.001, 0.116, 0.001, 0.086, -0.003
1457, 45.378, 0.135, 0.001, 0.116, 0.001, 0.083, -0.003
1493, 46.948, 0.107, 0.001, 0.101, 0.001, 0.078, -0.003
1494, 47.004, 0.123, 0.001, 0.126, 0.001, 0.084, -0.003
1509, 47.624, 0.085, -0.000, 0.093, -0.000, 0.094, -0.000
1510, 47.641, 0.162, 0.001, 0.113, 0.001, 0.116, -0.003
1516, 47.753, 0.076, -0.001, 0.173, 0.003, 0.106, -0.001
1519, 47.846, 0.124, -0.000, 0.358, 0.004, 0.117, -0.004
1541, 48.594, 0.135, 0.001, 0.107, 0.001, 0.084, -0.003
1552, 49.021, 0.084, -0.000, 0.090, -0.000, 0.098, -0.000
1557, 49.165, 0.099, -0.000, 0.107, -0.000, 0.091, -0.000
1560, 49.262, 0.120, 0.001, 0.115, -0.003, 0.078, 0.001
1563, 49.313, 0.095, -0.000, 0.193, -0.000, 0.103, -0.000
1587, 49.973, 0.157, -0.000, 0.190, -0.000, 0.134, -0.000
1592, 50.080, 0.109, 0.001, 0.113, 0.001, 0.128, -0.003
1611, 50.937, 0.116, -0.001, 0.091, 0.003, 0.156, -0.001
1626, 51.374, 0.095, 0.001, 0.105, 0.001, 0.084, -0.003
1628, 51.522, 0.091, -0.000, 0.093, -0.000, 0.092, -0.000
1640, 52.070, 0.093, -0.000, 0.083, -0.000, 0.108, -0.000
1656, 52.507, 0.102, 0.004, 0.112, -0.000, 0.105, -0.004
1663, 52.674, 0.090, -0.001, 0.166, 0.003, 0.094, -0.001
1688, 53.371, 0.151, -0.000, 0.141, -0.000, 0.106, -0.000
