# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
97660, 151, 4.312,   0, 4.312,   0, 0.105
99980, 152, 0.934,   0.936, 0.932,   0.0806, 0.173
100281, 153, 5.48,   5.48, 5.48,   0.242, 0.177
100347, 154, 2.098,   0, 2.098,   0, 0.279
100394, 155, 0.708,   0, 0.708,   0, 0.119
101053, 156, 0.192,   0.192, 0.192,   0.201, 0.137
101640, 157, 4.98,   0, 4.98,   0, 0.358
101833, 158, 1.072,   1.072, 1.072,   0.159, 0.0944
103437, 159, 0.956,   0.956, 0,   0.209, 0
103447, 160, 1.124,   1.124, 0,   0.146, 0
103485, 161, 2.676,   0, 2.676,   0, 0.101
103695, 162, 6.004,   6.004, 0,   0.0931, 0
103902, 163, 4.646,   4.648, 4.644,   0.173, 0.246
103912, 164, 1.016,   1.016, 0,   0.123, 0
103922, 165, 2.682,   2.684, 2.68,   0.142, 0.0834
104702, 166, 1.2,   0, 1.2,   0, 0.171
104732, 167, 1.424,   0, 1.424,   0, 0.154
106172, 168, 1.452,   0, 1.452,   0, 0.218
106204, 169, 1.366,   0, 1.366,   0, 0.0772
106329, 170, 0.926,   0.928, 0.924,   0.149, 0.119
106467, 171, 0.328,   0.328, 0,   0.0931, 0
106805, 172, 3.856,   3.856, 3.856,   0.0869, 0.13
107691, 173, 2.236,   0, 2.236,   0, 0.187
107788, 174, 1.408,   1.408, 0,   0.0869, 0
108207, 175, 1.828,   1.828, 1.828,   0.109, 0.0912
108460, 176, 1.476,   1.476, 0,   0.0712, 0
108790, 177, 1.392,   1.392, 1.392,   0.171, 0.176
109434, 178, 1.858,   1.858, 1.858,   0.137, 0.0834
109688, 179, 2.886,   2.886, 2.886,   0.106, 0.119
109838, 180, 1.618,   1.618, 1.618,   0.112, 0.0678
110904, 181, 3.072,   0, 3.072,   0, 0.188
110918, 182, 1.034,   0, 1.034,   0, 0.0975
112793, 183, 5.692,   5.69, 5.694,   0.0806, 0.107
113685, 184, 3.732,   0, 3.732,   0, 0.163
114535, 185, 1.78,   1.78, 1.78,   0.124, 0.0912
115049, 186, 5.794,   5.794, 0,   0.112, 0
118312, 187, 2.428,   2.426, 2.43,   0.142, 0.0834
119080, 188, 0.692,   0, 0.692,   0, 0.173
119646, 189, 3.02,   3.018, 3.022,   0.12, 0.157
119702, 190, 2.28,   2.28, 0,   0.0619, 0
119746, 191, 3.47,   3.472, 3.468,   0.0994, 0.085
